64,83,1.107761
64,113,1.185111
64,72,1.072119
64,127,1.214391
64,124,1.208398
64,90,1.128059
64,162,1.275412
64,135,1.229705
64,121,1.202259
64,101,1.156966
128,513,1.308046
128,512,1.307637
128,585,1.335576
128,500,1.302666
128,553,1.323784
128,687,1.369266
128,452,1.281510
128,583,1.334858
128,717,1.378225
128,596,1.339481
256,1786,1.360088
256,1975,1.378359
256,1954,1.376417
256,1835,1.365004
256,2038,1.384063
256,2362,1.410862
256,2091,1.388726
256,1981,1.378910
256,1891,1.370464
256,2390,1.413003
512,6482,1.411376
512,6257,1.405695
512,7503,1.434898
512,8206,1.449301
512,7066,1.425248
512,7530,1.435476
512,7174,1.427688
512,7394,1.432545
512,6747,1.417820
512,8788,1.460319
1024,23492,1.454047
1024,22453,1.447511
1024,25710,1.467081
1024,28255,1.480718
1024,23072,1.451441
1024,25217,1.464284
1024,30492,1.491726
1024,26115,1.469339
1024,29481,1.486855
1024,28614,1.482542
2048,71406,1.466738
2048,68577,1.461432
2048,76782,1.476264
2048,81389,1.483911
2048,83477,1.487236
2048,95743,1.505228
2048,85198,1.489914
2048,89506,1.496388
2048,83194,1.486790
2048,91255,1.498927
64,83,1.107761
64,113,1.185111
64,72,1.072119
64,127,1.214391
64,124,1.208398
64,90,1.128059
64,162,1.275412
64,135,1.229705
64,121,1.202259
64,101,1.156966
128,513,1.308046
128,512,1.307637
128,585,1.335576
128,500,1.302666
128,553,1.323784
128,687,1.369266
128,452,1.281510
128,583,1.334858
128,717,1.378225
128,596,1.339481
256,1786,1.360088
256,1975,1.378359
256,1954,1.376417
256,1835,1.365004
256,2038,1.384063
256,2362,1.410862
256,2091,1.388726
256,1981,1.378910
256,1891,1.370464
256,2390,1.413003
512,6482,1.411376
512,6257,1.405695
512,7503,1.434898
512,8206,1.449301
512,7066,1.425248
512,7530,1.435476
512,7174,1.427688
512,7394,1.432545
512,6747,1.417820
512,8788,1.460319
1024,23492,1.454047
1024,22453,1.447511
1024,25710,1.467081
1024,28255,1.480718
1024,23072,1.451441
1024,25217,1.464284
1024,30492,1.491726
1024,26115,1.469339
1024,29481,1.486855
1024,28614,1.482542
2048,71406,1.466738
2048,68577,1.461432
2048,76782,1.476264
2048,81389,1.483911
2048,83477,1.487236
2048,95743,1.505228
2048,85198,1.489914
2048,89506,1.496388
2048,83194,1.486790
2048,91255,1.498927
4096,200140,1.467986
4096,250447,1.494951
4096,234877,1.487233
4096,259537,1.499239
4096,248104,1.493821
4096,271324,1.504580
4096,265958,1.502178
4096,265894,1.502149
4096,288760,1.512070
4096,310276,1.520713
